ISO2,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate
AF,2020-11-28 12:25:48,45966,1752,36709,7505,118.07849710317736,3.81151285732933
AL,2020-11-28 12:25:48,36245,771,17755,17719,1259.4690388491208,2.1271899572354807
DZ,2020-11-28 12:25:48,80168,2372,51946,25850,182.81891265391337,2.958786548248678
AD,2020-11-28 12:25:48,6610,76,5710,824,8554.973144373262,1.1497730711043872
AO,2020-11-28 12:25:48,15008,342,7697,6969,45.66383989809856,2.2787846481876333
AG,2020-11-28 12:25:48,141,4,130,7,143.98333469487787,2.8368794326241136
AR,2020-11-28 12:25:48,1407277,38216,1235257,133804,3113.7356041030116,2.7155989901064252
AM,2020-11-28 12:25:48,133594,2121,106479,24994,4508.385095473392,1.5876461517732832
AU,2020-11-28 12:25:48,27885,907,25585,1393,109.5260352635734,3.2526447911063294
AT,2020-11-28 12:25:48,275661,3018,210697,61946,3060.723485521407,1.0948229891061847
AZ,2020-11-28 12:25:48,109813,1291,69931,38591,1083.0565603217224,1.1756349430395308
BS,2020-11-28 12:25:48,7496,163,5830,1503,1906.176255187566,2.1744930629669157
BH,2020-11-28 12:25:48,86515,341,84653,1521,5084.383189065711,0.3941513032422123
BD,2020-11-28 12:25:48,460619,6580,375885,78154,279.68955351542,1.4285125016553812
BB,2020-11-28 12:25:48,270,7,249,14,93.95520076834475,2.5925925925925926
BY,2020-11-28 12:25:48,131633,1136,110152,20345,1393.0418915814162,0.8630054773499046
BE,2020-11-28 12:25:48,570829,16339,0,554490,4925.348691449311,2.8623282979666413
BZ,2020-11-28 12:25:48,5587,141,3056,2390,1405.1068731279283,2.523715768748881
BJ,2020-11-28 12:25:48,2974,43,2579,352,24.531480884829232,1.44586415601883
BT,2020-11-28 12:25:48,395,0,372,23,51.19153149510376,0.0
BO,2020-11-28 12:25:48,144494,8943,121050,14501,1237.8449500982135,6.189184325992775
BA,2020-11-28 12:25:48,85431,2542,50001,32888,2603.9566388229755,2.975500696468495
BW,2020-11-28 12:25:48,10258,31,7717,2510,436.2090044118429,0.3022031585104309
BR,2020-11-28 12:25:48,6238350,171974,5581436,484940,2934.8736098527634,2.7567225307974064
BN,2020-11-28 12:25:48,150,3,145,2,34.287046582381485,2.0
BG,2020-11-28 12:25:48,139955,3680,46740,89535,2014.1916644659345,2.629416598192276
BF,2020-11-28 12:25:48,2816,68,2579,169,13.471571300922276,2.414772727272727
MM,2020-11-28 12:25:48,86633,1865,65972,18796,159.22317221050312,2.1527593411286694
BI,2020-11-28 12:25:48,681,1,575,105,5.727125913764621,0.14684287812041116
CV,2020-11-28 12:25:48,10626,105,10088,433,1911.192327891969,0.9881422924901185
KH,2020-11-28 12:25:48,308,0,299,9,1.8422186389341784,0.0
CM,2020-11-28 12:25:48,24117,437,22177,1503,90.85031099383316,1.8119998341418917
CA,2020-11-28 12:25:48,362604,11916,291221,59467,957.8583432424526,3.286229605851011
CF,2020-11-28 12:25:48,4913,63,1924,2926,101.72339683678126,1.282312232851618
TD,2020-11-28 12:25:48,1663,101,1499,63,10.124280258341436,6.073361395069152
CL,2020-11-28 12:25:48,547243,15278,522259,9706,2862.717184144618,2.79181277787016
CN,2020-11-28 12:25:48,92670,4742,86952,976,6.597249346402812,5.1170821193482245
CO,2020-11-28 12:25:48,1290510,36214,1189499,64797,2536.2359570656413,2.8061774027322532
KM,2020-11-28 12:25:48,610,7,585,18,70.14759744478752,1.1475409836065573
CG,2020-11-28 12:25:48,5774,94,4988,692,104.63761749532266,1.6279875303082785
CD,2020-11-28 12:25:48,12470,333,11495,642,13.923408346747221,2.6704089815557337
CR,2020-11-28 12:25:48,137093,1690,84991,50412,2691.2040052499806,1.2327398189550158
CI,2020-11-28 12:25:48,21232,131,20873,228,80.49047938123323,0.6169932177844762
HR,2020-11-28 12:25:48,123693,1655,98465,23573,3013.031061553107,1.3379900236876783
CU,2020-11-28 12:25:48,8110,133,7525,452,71.60126201859408,1.6399506781750925
CY,2020-11-28 12:25:48,9983,48,2057,7878,826.8446636921352,0.48081738956225584
CZ,2020-11-28 12:25:48,515984,7967,425026,82991,4818.235757609827,1.5440401252752023
DK,2020-11-28 12:25:48,77236,816,60828,15592,1333.4477400049686,1.0565021492568232
Others,2020-11-28 12:25:48,712,13,659,40,0,1.8258426966292134
DJ,2020-11-28 12:25:48,5676,61,5576,39,574.4927641846879,1.0747004933051445
DM,2020-11-28 12:25:48,80,0,63,17,111.12500173632816,0.0
DO,2020-11-28 12:25:48,141777,2324,113817,25636,1306.9529376366163,1.6391939454213307
EC,2020-11-28 12:25:48,189534,13358,164009,12167,1074.269429452714,7.04781200206823
EG,2020-11-28 12:25:48,114832,6608,102390,5834,112.21250785036582,5.754493520969764
SV,2020-11-28 12:25:48,38405,1107,35078,2220,592.1031432729267,2.882437182658508
GQ,2020-11-28 12:25:48,5153,85,5009,59,367.28831740895305,1.6495245488065204
ER,2020-11-28 12:25:48,566,0,477,89,15.959725097964796,0.0
EE,2020-11-28 12:25:48,11698,109,6974,4615,881.8436548039673,0.9317832108052658
SZ,2020-11-28 12:25:48,6362,120,5959,283,548.3707475839623,1.8861993083935868
ET,2020-11-28 12:25:48,108438,1686,67506,39246,94.32378251467685,1.5548055109832346
FJ,2020-11-28 12:25:48,38,2,33,3,4.238970867114957,5.2631578947368425
FI,2020-11-28 12:25:48,24307,393,16800,7114,438.69765615214493,1.616818200518369
FR,2020-11-28 12:25:48,2248209,51999,165493,2030717,3444.289928815229,2.3129077412286847
GA,2020-11-28 12:25:48,9191,59,9037,95,412.94354027086865,0.6419323251006419
GM,2020-11-28 12:25:48,3731,123,3590,18,154.38637725393352,3.2967032967032965
GE,2020-11-28 12:25:48,127942,1195,106328,20419,3207.229565010309,0.9340169764424505
DE,2020-11-28 12:25:48,1038649,16034,706983,315632,1239.675453334168,1.5437361418535038
GH,2020-11-28 12:25:48,51225,323,50127,775,164.85402333122914,0.6305514885309907
GR,2020-11-28 12:25:48,101287,2102,23074,76111,971.7591462619025,2.0752910047686277
GD,2020-11-28 12:25:48,41,0,30,11,36.43829042206205,0.0
GT,2020-11-28 12:25:48,121132,4141,109619,7372,676.1270798741675,3.4185846844764387
GN,2020-11-28 12:25:48,13039,76,11982,981,99.28581827839807,0.5828667842625969
GW,2020-11-28 12:25:48,2422,43,2309,70,123.06923076141338,1.7753922378199836
GY,2020-11-28 12:25:48,5310,149,4272,889,675.0923961203165,2.806026365348399
HT,2020-11-28 12:25:48,9264,232,7951,1081,81.24510580236866,2.5043177892918824
VA,2020-11-28 12:25:48,27,0,15,12,3337.453646477132,0.0
HN,2020-11-28 12:25:48,107134,2899,47576,56659,1081.6581534574614,2.7059570257807977
HU,2020-11-28 12:25:48,204708,4516,54021,146171,2119.0536574761786,2.2060691326181683
IS,2020-11-28 12:25:48,5371,26,5152,193,1573.919413919414,0.48408117668962947
IN,2020-11-28 12:25:48,9351109,136200,8759969,454940,677.6144410584608,1.4565117356668604
ID,2020-11-28 12:25:48,527999,16646,441983,69370,193.03597914857963,3.1526574860937235
IR,2020-11-28 12:25:48,935799,47486,648831,239482,1114.1398969506406,5.074380288929567
IQ,2020-11-28 12:25:48,547215,12167,476297,58751,1360.469784786889,2.223440512412854
IE,2020-11-28 12:25:48,71699,2043,23364,46292,1452.0445964150808,2.8494121256921296
IL,2020-11-28 12:25:48,333802,2839,321346,9617,3856.5122619140734,0.8505041911073031
IT,2020-11-28 12:25:48,1538217,53677,696647,787893,2544.112625903405,3.489559665508833
JM,2020-11-28 12:25:48,10600,250,5829,4521,357.9677025328917,2.358490566037736
JP,2020-11-28 12:25:48,145442,2034,120103,23305,114.99531398958058,1.3984956202472463
JO,2020-11-28 12:25:48,207601,2570,140400,64631,2034.677560045241,1.2379516476317551
KZ,2020-11-28 12:25:48,130039,1990,116044,12005,692.5548766351842,1.5303101377279125
KE,2020-11-28 12:25:48,81656,1441,54125,26090,151.85796140320207,1.7647202899970609
KR,2020-11-28 12:25:48,33375,522,27349,5504,65.09758503465912,1.5640449438202246
XK,2020-11-28 12:25:48,37792,975,23274,13543,2087.533681034664,2.5799110922946658
KW,2020-11-28 12:25:48,142195,875,135889,5431,3329.6546614579856,0.6153521572488484
KG,2020-11-28 12:25:48,71971,1262,63407,7302,1103.1406039461444,1.7534840421836573
LA,2020-11-28 12:25:48,39,0,24,15,0.5360415066559862,0.0
LV,2020-11-28 12:25:48,16561,193,1719,14649,878.0077637495878,1.1653885634925427
LB,2020-11-28 12:25:48,123982,980,74008,48994,1816.468442629796,0.7904373215466761
LS,2020-11-28 12:25:48,2109,44,1278,787,98.44780165918856,2.0862968231389285
LR,2020-11-28 12:25:48,1595,83,1343,169,31.536217121022162,5.2037617554858935
LY,2020-11-28 12:25:48,81273,1153,52299,27821,1182.791520715115,1.4186753288299927
LI,2020-11-28 12:25:48,1231,15,1024,192,3227.8364842541364,1.2185215272136474
LT,2020-11-28 12:25:48,58212,482,14056,43674,2138.34597403437,0.8280079708651137
LU,2020-11-28 12:25:48,33409,300,24073,9036,5337.105575932624,0.8979616271064683
Others,2020-11-28 12:25:48,9,2,0,7,0,22.22222222222222
MG,2020-11-28 12:25:48,17341,251,16657,433,62.62319201759964,1.4474367106856583
MW,2020-11-28 12:25:48,6024,185,5453,386,31.489880660984305,3.0710491367861885
MY,2020-11-28 12:25:48,63176,354,51314,11508,195.1924980036148,0.5603393693807776
MV,2020-11-28 12:25:48,12933,46,11749,1138,2392.598539983942,0.3556792700842805
ML,2020-11-28 12:25:48,4567,149,3091,1327,22.5521576049658,3.2625355813444274
MT,2020-11-28 12:25:48,9609,132,7418,2059,2176.2517014352075,1.3737121448641898
MH,2020-11-28 12:25:48,4,0,1,3,6.847790731515245,0.0
MR,2020-11-28 12:25:48,8424,172,7665,587,181.174537493064,2.0417853751187085
MU,2020-11-28 12:25:48,501,10,443,48,39.39400849369421,1.996007984031936
MX,2020-11-28 12:25:48,1078594,104242,803581,170771,844.0212111081572,9.664618939100347
MD,2020-11-28 12:25:48,104140,2250,91797,10093,2581.5804458295725,2.160553101594008
MC,2020-11-28 12:25:48,603,3,532,68,1536.5406176740394,0.4975124378109453
MN,2020-11-28 12:25:48,760,0,347,413,23.1828037282829,0.0
ME,2020-11-28 12:25:48,33836,474,22366,10996,5387.36621543733,1.4008748078969144
MA,2020-11-28 12:25:48,345276,5689,294036,45551,935.4396647159872,1.6476673733476987
MZ,2020-11-28 12:25:48,15506,128,13631,1747,49.61057172936483,0.8254869082935637
NA,2020-11-28 12:25:48,14207,149,13388,670,559.1290699889331,1.0487787710283663
NP,2020-11-28 12:25:48,230723,1454,211186,18083,791.8609341146772,0.6301929153140345
NL,2020-11-28 12:25:48,517045,9343,6853,500849,3017.501209375757,1.8069993907686952
NZ,2020-11-28 12:25:48,2050,25,1956,69,42.51142572331117,1.2195121951219512
NI,2020-11-28 12:25:48,5784,160,4225,1399,87.31153825600938,2.7662517289073305
NE,2020-11-28 12:25:48,1472,70,1192,210,6.080977133708294,4.755434782608695
NG,2020-11-28 12:25:48,67220,1171,62686,3363,32.60897190019111,1.7420410592085689
MK,2020-11-28 12:25:48,59701,1658,36825,21218,2865.583810922635,2.777172911676521
NO,2020-11-28 12:25:48,35193,328,17998,16867,649.1685853536883,0.9320035234279545
OM,2020-11-28 12:25:48,122579,1391,113856,7332,2400.393058268264,1.134778387815205
PK,2020-11-28 12:25:48,392356,7942,337553,46861,177.62318783262782,2.024182120319302
PA,2020-11-28 12:25:48,161744,3030,142046,16668,3748.6140622160915,1.873330695419923
PG,2020-11-28 12:25:48,645,7,588,50,7.209098620133816,1.0852713178294573
PY,2020-11-28 12:25:48,80436,1720,56991,21725,1127.7344785090283,2.1383460142224875
PE,2020-11-28 12:25:48,956347,35785,888815,31747,2900.4957744859053,3.741842657529119
PH,2020-11-28 12:25:48,427797,8333,388062,31402,390.39310479541246,1.9478864975677717
PL,2020-11-28 12:25:48,973593,16746,538273,418574,2572.4711635297276,1.7200205835497995
PT,2020-11-28 12:25:48,285838,4276,199446,82116,2803.2383395933607,1.4959522526745919
QA,2020-11-28 12:25:48,138477,237,135651,2589,4806.460122316092,0.17114755518967048
RO,2020-11-28 12:25:48,465982,11045,335764,119173,2422.235693468683,2.370263229051766
RU,2020-11-28 12:25:48,2223500,38676,1724416,460408,1523.6291688748497,1.7394198335956825
RW,2020-11-28 12:25:48,5872,47,5397,428,45.33589598500148,0.8004087193460491
KN,2020-11-28 12:25:48,22,0,19,3,41.3596029478117,0.0
LC,2020-11-28 12:25:48,246,2,109,135,133.96576793425876,0.8130081300813008
VC,2020-11-28 12:25:48,85,0,79,6,76.61315763382515,0.0
SM,2020-11-28 12:25:48,1554,44,1252,258,4578.938063527609,2.831402831402831
ST,2020-11-28 12:25:48,985,17,930,38,449.4412783296298,1.7258883248730965
SA,2020-11-28 12:25:48,356691,5857,345622,5212,1024.5658719842872,1.6420375058524044
SN,2020-11-28 12:25:48,16027,332,15582,113,95.7182692474228,2.0715043364322705
RS,2020-11-28 12:25:48,155994,1423,0,154571,1785.365619173733,0.912214572355347
SC,2020-11-28 12:25:48,173,0,162,11,175.92027659141752,0.0
SL,2020-11-28 12:25:48,2410,74,1833,503,30.21191590557084,3.070539419087137
SG,2020-11-28 12:25:48,58205,28,58111,66,994.8989315669183,0.04810583283223091
SK,2020-11-28 12:25:48,104632,798,62094,41740,1916.462303487609,0.7626729872314397
SI,2020-11-28 12:25:48,74257,1336,52814,20107,3571.8821010018605,1.7991569818333626
SB,2020-11-28 12:25:48,17,0,5,12,2.6039353121199404,0.0
SO,2020-11-28 12:25:48,4451,113,3417,921,28.00565448698593,2.5387553358795776
ZA,2020-11-28 12:25:48,781941,21378,722876,37687,1318.425680958389,2.733965861874489
SS,2020-11-28 12:25:48,3104,61,2954,89,27.72981193309218,1.9652061855670102
ES,2020-11-28 12:25:48,1628208,44668,150376,1433164,3482.441571806675,2.7433841376531745
LK,2020-11-28 12:25:48,22501,107,16656,5738,105.07979872275344,0.4755344206924137
SD,2020-11-28 12:25:48,16864,1215,9964,5685,38.459021973661635,7.204696394686907
SR,2020-11-28 12:25:48,5311,117,5187,7,905.3345015802016,2.2029749576350968
SE,2020-11-28 12:25:48,243129,6681,0,236448,2407.3918213890706,2.7479239416112433
CH,2020-11-28 12:25:48,318290,4596,222100,91594,3677.689760541713,1.4439661943510635
SY,2020-11-28 12:25:48,7635,404,3389,3842,43.62693354883763,5.291421087098887
TW,2020-11-28 12:25:48,648,7,556,85,2.7207713890734575,1.0802469135802468
TJ,2020-11-28 12:25:48,12082,86,11478,518,126.67701303949131,0.7118026816752193
TZ,2020-11-28 12:25:48,509,21,183,305,0.852107987092757,4.12573673870334
TH,2020-11-28 12:25:48,3966,60,3798,108,5.681950214941328,1.51285930408472
TL,2020-11-28 12:25:48,30,0,30,0,2.27541294952679,0.0
TG,2020-11-28 12:25:48,2926,64,2401,461,35.34355542397349,2.1872863978127137
TT,2020-11-28 12:25:48,6586,118,5710,758,470.5996680221595,1.7916793197692074
TN,2020-11-28 12:25:48,93770,3106,68464,22200,793.4091786366223,3.3123600298602964
TR,2020-11-28 12:25:48,548244,13191,392616,142437,650.0475040825387,2.4060454833979033
US,2020-11-28 12:25:48,13094011,264866,4947446,7881699,3974.309868910015,2.022802638549792
UG,2020-11-28 12:25:48,19588,197,8840,10551,42.82372488576988,1.0057177863998366
UA,2020-11-28 12:25:48,728834,12485,350189,366160,1666.524937863219,1.7130100955773193
AE,2020-11-28 12:25:48,165250,567,152708,11975,1670.8121006228262,0.34311649016641455
GB,2020-11-28 12:25:48,1593260,57648,3477,1532135,2346.9638896406395,3.6182418437668677
UY,2020-11-28 12:25:48,5303,74,4107,1122,152.66024071551968,1.3954365453516877
UZ,2020-11-28 12:25:48,72582,608,69859,2115,216.86207668130928,0.8376732523215122
VU,2020-11-28 12:25:48,1,0,0,1,0.3416700833675003,0.0
VE,2020-11-28 12:25:48,101524,888,96402,4234,357.0270203453425,0.8746700287616721
VN,2020-11-28 12:25:48,1341,35,1179,127,1.3776654217372366,2.609992542878449
PS,2020-11-28 12:25:48,81890,704,62944,18242,1605.2405841829013,0.8596898278178043
EH,2020-11-28 12:25:48,10,1,8,1,1.674116485025028,10.0
YE,2020-11-28 12:25:48,2148,614,1491,43,7.201777994263254,28.584729981378025
ZM,2020-11-28 12:25:48,17569,357,16845,367,95.56702594370874,2.0319881609653367
ZW,2020-11-28 12:25:48,9714,275,8470,969,65.35724760001848,2.8309656166357833
